Year of Manufacture,Car Make,Car Full Title,Cash Price (USD),Exterior,Interior,Mileage,Fuel Type,MPG,Transmission,Drivetrain,Engine,Location,Listed Since,VIN,Stock Number,Features,Financing Support,Price Category,City MPG,Highway MPG,Price Segment,Top Exterior Color,State,Top State,Listed Days,Cluster,Expected_Days_To_Sell,Probability_Sold_30Days,Total_Expected_Days
2019,Honda,2019 Honda Accord Lx 1.5T Cvt,17995,Platinum White Pearl,Gray,54107,Gas,30 city / 38 highway,Automatic Transmission,Fwd,1.5L Inline-4 Gas Inline,"Escondido, Ca",17 days ago,1HGCV1F13KA003106,,Wheel Type; Climate Control; Cruise Control; Lane Keep Assist; Backup Camera; Bluetooth; Door Handle Color - Body-Color; Front Bumper Color - Body-Color; Grille Color - Chrome; Mirror Color - Body-Color; Rear Bumper Color - Body-Color; Window Trim - Chrome; Turns Lock-To-Lock - 2.27; Steering Ratio - 11.8; Air Filtration; Dash Trim - Alloy; Door Trim - Alloy; Floor Mat Material - Carpet; Floor Material - Carpet; Floor Mats - Front; Front Air Conditioning - Automatic Climate Control; Front Air Conditioning Zones - Dual; Shift Knob Trim - Urethane; Steering Wheel Trim - Urethane; Floor Mats - Rear; Armrests - Rear Folding; Armrests - Rear Center With Cupholders; Adaptive Cruise Control; Assist Handle - Front; Assist Handle - Rear; Capless Fuel Filler System; Center Console - Front Console With Armrest And Storage; Cupholders - Front; Cupholders - Rear; Multi-Function Remote - Keyless Entry; Multi-Function Remote - Trunk Release; Steering Wheel - Tilt And Telescopic; Steering Wheel Mounted Controls - Audio; Steering Wheel Mounted Controls - Phone; Storage - Cargo Tie-Down Anchors And Hooks; Storage - Door Pockets; Storage - Sunglasses Holder; Power Outlet(S) - 12v Front; Power Steering - Variable/Speed-Proportional; Vanity Mirrors - Dual Illuminating; Multi-Function Remote - Panic Alarm; Steering Wheel Mounted Controls - Cruise Control; Cargo Area Light; Push-Button Start; Reading Lights - Front; Steering Wheel Mounted Controls - Multi-Function; One-Touch Windows - 2; Power Windows - Lockout Button; Rearview Mirror - Manual Day/Night; Adaptive Stop And Go Cruise Control - Semi-Automatic; Autonomous Lane Guidance - Lane Centering; Abs - 4-Wheel; Braking Assist; Cornering Brake Control; Electronic Brakeforce Distribution; Electronic Parking Brake - Auto Off; Front Brake Diameter - 11.5; Front Stabilizer Bar - Diameter 27 Mm; Front Suspension Classification - Independent; Power Brakes; Rear Brake Diameter - 11.1; Rear Stabilizer Bar - Diameter 16 Mm; Rear Suspension Classification - Independent; Rear Suspension Type - Multi-Link; Stability Control; Traction Control; Hill Holder Control; Front Shock Type - Gas; Front Spring Type - Coil; Front Suspension Type - Lower Control Arms; Rear Shock Type - Gas; Rear Spring Type - Coil; Front Struts - Macpherson; Front Brake Type - Ventilated Disc; Rear Brake Type - Disc; Axle Ratio - 5.36; Battery - Maintenance-Free; Battery Saver; Antenna Type - Mast; Auxiliary Audio Input - Usb; Clock; Digital Odometer; External Temperature Display; Fuel Economy Display - Mpg; Fuel Economy Display - Range; Multi-Function Display; Radio - Am/Fm; Radio Data System; Speed Sensitive Volume Control; Trip Odometer; Warnings And Reminders - Low Battery; Warnings And Reminders - Low Fuel Level; Watts - 160; Electronic Messaging Assistance - With Read Function; Auxiliary Audio Input - Bluetooth; Wireless Data Link - Bluetooth; Internet Radio App - Pandora; Total Speakers - 4; Gauge - Tachometer; Warnings And Reminders - Maintenance Due; Infotainment Screen Size - 7 In.; See less,Yes,Mid-range (15K-30K),30.0,38.0,Mid-range,Other,california,california,17.0,6,12.345829081434818,0.4925064175193627,29.345829081434815
2013,Lincoln,2013 Lincoln Mkx Awd,7999,White Platinum Metallic Tri-Coat,Unknown,87799,Gas,17 city / 23 highway,Automatic Transmission,Awd,3.7L V-6 Gas V,"Temple Hills, Md",91 days ago,2LMDJ8JK2DBL03931,9954,Wheel Type; Power Trunk/Liftgate; Premium Audio; Seat Material; Front Heated Seats; Front Cooled Seats; Remote Engine Start; Climate Control; Parking Sensors; Bluetooth; See less; 4WD/AWD; ABS Brakes; Air Conditioning; Alloy Wheels; AM/FM Radio; See all features,No,Affordable (5K-15K),17.0,23.0,Affordable,Other,maryland,Unmatched,91.0,3,10.35,0.543434697707818,101.35
2009,Jeep,2009 Jeep Grand Cherokee Laredo 4Wd,5995,Bright Silver Metallic,Dark Slate Gray,120000,Gas,15 city / 20 highway,Automatic Transmission,4Wd,3.7L V-6 Gas V,"Huntington Station, Ny",1 day ago,1J8GR48K49C551117,551117,"3.7L V6 Engine; 5 Speed Automatic Transmission; 26X Customer Preferred Order Selection PKG; 3.07 Axle Ratio; P245/65R17 All Terrain Owl Tires; Dark Slate Gray, Leather Trimmed Bucket Seats; Popular Equipment Group; Navigation/Rear Back Up Camera Group; Full Size Spare Tire; PWR Sunroof; See less; Wheel Type; Moonroof; Premium Audio; Navigation; Seat Material; See all features; Power Steering; Dual Air Bags; Traction Control; 4WD; Power Windows; See all features",No,Affordable (5K-15K),15.0,20.0,Affordable,Other,new york,new york,1.0,3,42.25125856862303,0.406185159241181,43.25125856862303
2011,Nissan,2011 Nissan Maxima Sv,4995,Metallic Slate,Charcoal,108634,Gas,19 city / 26 highway,Automatic Transmission,Fwd,3.5L V-6 Gas V,"Brooklyn, Ny",986 days ago,1N4AA5AP1BC810156,810156,"Charcoal, Leather Seat Trim; Cold PKG; Monitor PKG; Rear Spoiler; Front/Rear Floor & Trunk Mat Set; Wheel Type; Moonroof; Premium Audio; Seat Material; Front Heated Seats; Climate Control; Backup Camera; Bluetooth; See less; ABS; 4-Wheel Disc Brakes; A/C; A/T; Adjustable Steering Wheel; See all features",No,Budget (<5K),19.0,26.0,Budget / Used,Other,new york,new york,986.0,4,10.8,0.0726279701206834,996.8
2011,Nissan,2011 Nissan Altima 2.5 S Sedan Cvt,3500,Ocean Gray Metallic,Charcoal,210887,Gas,23 city / 32 highway,Automatic Transmission,Fwd,2.5L Inline-4 Gas Inline,"Murray, Ut",20 days ago,1N4AL2AP5BN451939,LP41781B,"Charcoal, Interior Trim; 5 Piece Carpeted Floor Mat/Trunk Mat Set; 6 Speakers; AM/FM radio; AM/FM/CD Radio; CD player; Air Conditioning; Rear window defroster; Power steering; Power windows; Remote keyless entry; Four wheel independent suspension; Speed-sensing steering; Traction control; 4-Wheel Disc Brakes; ABS brakes; Anti-whiplash front head restraints; Dual front impact airbags; Dual front side impact airbags; Front anti-roll bar; Low tire pressure warning; Occupant sensing airbag; Overhead airbag; Rear anti-roll bar; Brake assist; Electronic Stability Control; Delay-off headlights; Panic alarm; Security system; Speed control; Bodyside moldings; Bumpers: body-color; Power door mirrors; Driver door bin; Driver vanity mirror; Front reading lights; Illuminated entry; Outside temperature display; Overhead console; Passenger vanity mirror; Rear reading lights; Rear seat center armrest; Tachometer; Telescoping steering wheel; Tilt steering wheel; Trip computer; Front Bucket Seats; Multi-Adjustable Reclining Front Bucket Seats; Split folding rear seat; Velour Seat Trim; Front Center Armrest w/Storage; Passenger door bin; 16'' Wheels w/Full-Wheel Bolt-On Covers; Speed-Sensitive Wipers; Variably intermittent wipers; See less",No,Budget (<5K),23.0,32.0,Budget / Used,Other,utah,Unmatched,20.0,5,36.71799883817487,0.2934778985749694,56.71799883817487
2015,Nissan,2015 Nissan Altima 2.5 Sl,9990,Super Black,Charcoal,104553,Gas,27 city / 38 highway,Automatic Transmission,Fwd,2.5L Inline-4 Gas Inline,"Merrillville, In",3 days ago,1N4AL3AP0FC598015,16014A,"Charcoal, Leather Appointed Seat Trim; Technology Package; Moonroof Package; Splash Guards; Trunk Sub Floor Organizer & Kits; Body Color Body Side Moldings; Floor Mats Plus Trunk Mat (5 Piece); See less; Wheel Type; Moonroof; Premium Audio; Navigation; Seat Material; See all features; Engine: 2.5L DOHC 16-Valve I-4; Transmission: Xtronic CVT (Continuously Variable); Front-wheel drive; 4.83 Axle Ratio; 550CCA Maintenance-Free Battery w/Run Down Protection; See all features",Yes,Affordable (5K-15K),27.0,38.0,Affordable,Other,indiana,Unmatched,3.0,6,16.155358861510834,0.5106648180024465,19.155358861510837
2016,Nissan,2016 Nissan Altima 2.5 S,6500,Gray,Black,155255,Gas,27 city / 39 highway,Automatic Transmission,Fwd,2.5L Inline-4 Gas Inline,"Hemet, Ca",258 days ago,1N4AL3AP0GC149726,1088,Power Seat; Automatic Xtronic CVT; Tilt & Telescoping Wheel; Side Air Bags; Keyless Start; Remote Trunk Release; F&R Head Curtain Air Bags; CD/MP3 (Single Disc); Cruise Control; Traction Control; Air Conditioning; Alarm System; Power Steering; FWD; Vehicle Dynamic Control; Backup Camera; Power Door Locks; Power Windows; Bluetooth Wireless; Keyless Entry; Premium Wheels; Dual Air Bags; 4-Cyl 2.5 Liter; AM/FM Stereo; ABS (4-Wheel); See less,No,Affordable (5K-15K),27.0,39.0,Affordable,Gray,california,california,258.0,5,9.45,0.2044163545242128,267.45
2016,Nissan,2016 Nissan Altima 2.5 Sr,8250,Super Black,Charcoal,125828,Gas,26 city / 37 highway,Automatic Transmission,Fwd,2.5L Inline-4 Gas Inline,"San Antonio, Tx",41 days ago,1N4AL3AP1GN322660,,"Charcoal, Cloth Seat Trim; Splash Guards; Sport Carpeted Floor Mats/Trunk Mat (5 Piece); Wheel Type; Climate Control; Backup Camera; Bluetooth; Active Grille Shutters; Door Handle Color - Chrome; Exhaust Tip Color - Chrome; Front Bumper Color - Body-Color; Grille Color - Chrome Surround; Mirror Color - Body-Color; Rear Bumper Color - Body-Color; Rear Spoiler Color - Body-Color; Window Trim - Chrome; Rear Spoiler - Decklid; Exhaust - Dual Tip; Headlight Bezel Color - Smoked Chrome; Steering Ratio - 16.4; Turns Lock-To-Lock - 2.8; Air Filtration; Door Trim - Cloth; Floor Material - Carpet; Front Air Conditioning; Front Air Conditioning Zones - Single; Shift Knob Trim - Leather; Steering Wheel Trim - Leather; Interior Accents - Metallic-Tone; Armrests - Rear Center With Cupholders; Assist Handle - Rear; Center Console - Front Console With Armrest And Storage; Cruise Control; Cupholders - Rear; Multi-Function Remote - Trunk Release; Steering Wheel - Tilt And Telescopic; Storage - Sunglasses Holder; Power Outlet(S) - Two 12v Front; Power Steering - Variable/Speed-Proportional; Vanity Mirrors - Dual Illuminating; Overhead Console - Front; Cargo Area Light; Push-Button Start; Reading Lights - Rear; One-Touch Windows - 1; Power Windows - Lockout Button; Steering Wheel Mounted Controls - Voice Control; Rearview Mirror - Manual Day/Night; Abs - 4-Wheel; Braking Assist; Cornering Brake Control; Electronic Brakeforce Distribution; Front Brake Diameter - 11.7; Front Brake Width - 1.02; Front Stabilizer Bar - Diameter 24 Mm; Front Suspension Classification - Independent; Power Brakes; Rear Brake Diameter - 11.5; Rear Brake Width - .35; Rear Suspension Classification - Independent; Rear Suspension Type - Multi-Link; Stability Control; Traction Control; Front Shock Type - Gas; Front Spring Type - Coil; Front Suspension Type - Lower Control Arms; Rear Shock Type - Gas; Rear Spring Type - Coil; Tuned Suspension - Sport; Front Struts - Macpherson; Rear Stabilizer Bar - Diameter 27 Mm; Axle Ratio - 4.83; Front Brake Type - Ventilated Disc; Rear Brake Type - Disc; Alternator - 110 Amps; Battery - Maintenance-Free; Battery Saver; Antenna Type - Element; Auxiliary Audio Input - Usb; Clock; Digital Odometer; External Temperature Display; Fuel Economy Display - Range; In-Dash Cd - Single Disc; Multi-Function Display; Radio - Am/Fm; Radio Data System; Speed Sensitive Volume Control; Trip Odometer; Wireless Data Link - Bluetooth; Internet Radio App - Pandora; Total Speakers - 6; Gauge - Tachometer; Infotainment - Nissanconnect; Electronic Messaging Assistance - Voice Operated; Warnings And Reminders - Maintenance Due; Infotainment Screen Size - 5 In.; Hands-Free Phone Call Integration - Voice Operated; Daytime Running Lights; Front Fog Lights; Headlights - Wiper Activated; Tire Pressure Monitoring System; Spare Tire Mount Location - Inside; Spare Tire Size - Temporary; Spare Wheel Type - Steel; Tire Type - All Season; Wheels - Aluminum Alloy; See less",No,Affordable (5K-15K),26.0,37.0,Affordable,Other,texas,texas,41.0,5,24.359247670882127,0.2588522292353344,65.35924767088213
2013,Nissan,2013 Nissan Altima 2.5 Sl Sedan (Alt),6995,Super Black,Charcoal,113160,Gas,27 city / 38 highway,Automatic Transmission,Fwd,2.5L Inline-4 Gas Inline,"Houston, Tx",72 days ago,1N4AL3AP2DN439319,439319,"Charcoal, Leather Seat Trim; Splash Guards; Carpeted Front/Rear Floor Mats & Trunk Mat; External Ground Lighting; Wheel Type; Premium Audio; Seat Material; Front Heated Seats; Remote Engine Start; Climate Control; Backup Camera; Bluetooth; See less",No,Affordable (5K-15K),27.0,38.0,Affordable,Other,texas,texas,72.0,5,12.75,0.249045840394399,84.75
2016,Nissan,2016 Nissan Altima 2.5 Sl,8990,Pearl White,Charcoal,97814,Gas,27 city / 39 highway,Automatic Transmission,Fwd,2.5L Inline-4 Gas Inline,"Riverdale, Nj",19 days ago,1N4AL3AP2GC250900,250900,Wheel Type; Premium Audio; Seat Material; Front Heated Seats; Remote Engine Start; Climate Control; Blind Spot System; Backup Camera; Bluetooth; See less; 4 Cylinder Engine; ABS; 4-Wheel Disc Brakes; A/C; A/T; See all features,Yes,Affordable (5K-15K),27.0,39.0,Affordable,Other,new jersey,Unmatched,19.0,6,3.6,0.6306841662402192,22.6
2016,Nissan,2016 Nissan Altima 2.5 S,9488,Gun Metallic,Charcoal,116561,Gas,27 city / 39 highway,Automatic Transmission,Fwd,2.5L Inline-4 Gas Inline,"Houston, Tx",13 days ago,1N4AL3AP4GN391620,A250666B,"Charcoal, Cloth Seat Trim; Power Driver Seat Package; Splash Guards; Floor Mats Plus Trunk Mat (5 Piece Carpeted); Wheel Type; Backup Camera; Bluetooth; 6 Speakers; AM/FM radio; CD player; Radio data system; Radio: AM/FM/CD/MP3 Audio System w/NissanConnect; Air Conditioning; Rear window defroster; 6-Way Power Driver's Seat; Power steering; Power windows; Remote keyless entry; Steering wheel mounted audio controls; Four wheel independent suspension; Speed-sensing steering; Traction control; 4-Wheel Disc Brakes; ABS brakes; Dual front impact airbags; Dual front side impact airbags; Front anti-roll bar; Low tire pressure warning; Occupant sensing airbag; Overhead airbag; Rear anti-roll bar; Brake assist; Electronic Stability Control; Exterior Parking Camera Rear; Delay-off headlights; Fully automatic headlights; Panic alarm; Security system; Speed control; Bumpers: body-color; Power door mirrors; Cloth Seat Trim; Driver door bin; Driver vanity mirror; Front reading lights; Illuminated entry; Outside temperature display; Overhead console; Passenger vanity mirror; Rear reading lights; Rear seat center armrest; Tachometer; Telescoping steering wheel; Tilt steering wheel; Trip computer; Front Bucket Seats; Split folding rear seat; Front Center Armrest w/Storage; Passenger door bin; 16'' x 7.0'' Steel w/Full Covers Wheels; Speed-Sensitive Wipers; Variably intermittent wipers; Let us know if you would like a personal video of this car sent to your phone!; See less",Yes,Affordable (5K-15K),27.0,39.0,Affordable,Other,texas,texas,13.0,6,19.95759134044929,0.5046545529251494,32.95759134044929
2018,Nissan,2018 Nissan Altima 2.5 Sl,13490,White,Tan,66541,Gas,27 city / 38 highway,Automatic Transmission,Fwd,2.5L Inline-4 Gas Inline,"Everett, Wa",47 days ago,1N4AL3AP5JC285261,285261,ABS (4-Wheel); Air Conditioning; Alarm System; AM/FM Stereo; Blind-Spot Monitor; Bluetooth Wireless; Bose Premium Sound; CD/MP3 (Single Disc); Color: White; Daytime Running Lights; Dual Air Bags; Dual Power Seats; F&amp;R Head Curtain Air Bags; Fog Lights; Heated Seats; Intelligent Cruise Control; Keyless Entry; Leather; LED Headlamps; Moon Roof; Navigation System; NissanConnect; Power Door Locks; Power Steering; Power Trunk Release; Power Windows; Premium Wheels; Push Button Start; R/V Monitor; Side Air Bags; SiriusXM Satellite; Technology Pkg; Tilt &amp; Telescoping Wheel; Traction Control; Vehicle Dynamic Control; See less,Yes,Affordable (5K-15K),27.0,38.0,Affordable,White,washington,Unmatched,47.0,6,3.45,0.5918560144621943,50.45
2016,Nissan,2016 Nissan Altima 2.5 Sl,9999,Super Black,Charcoal,115816,Gas,27 city / 39 highway,Automatic Transmission,Fwd,2.5L Inline-4 Gas Inline,"Greenville, Sc",3 days ago,1N4AL3AP9GC154505,VPA3336,"Charcoal, Leather Appointed Seat Trim; Moonroof Package; 2.5 Technology Package; Splash Guards; Rear Spoiler; Floor Mats Plus Trunk Mat (5 Piece Carpeted); Wheel Type; Moonroof; Premium Audio; Navigation; Seat Material; Front Heated Seats; Remote Engine Start; Climate Control; Cruise Control; Blind Spot System; Backup Camera; Bluetooth; See less; Exhaust - Dual Tip; Active Grille Shutters; Door Handle Color - Chrome; Exhaust Tip Color - Chrome; Front Bumper Color - Body-Color; See all features",Yes,Affordable (5K-15K),27.0,39.0,Affordable,Other,south carolina,Unmatched,3.0,6,18.75947856562881,0.4975843956743851,21.75947856562881
2018,Nissan,2018 Nissan Altima 2.5 Sl,10900,Storm Blue,Charcoal,73966,Gas,27 city / 38 highway,Automatic Transmission,Fwd,2.5L Inline-4 Gas Inline,"Houston, Tx",128 days ago,1N4AL3AP9JC129417,900072,"Charcoal, Cloth Seat Trim; Floor Mats Plus Trunk Mat (5 Piece Carpeted); Wheel Type; Moonroof; Premium Audio; Seat Material; Front Heated Seats; Remote Engine Start; Climate Control; Blind Spot System; Backup Camera; Bluetooth; See less; Child Safety Door Locks; Vehicle Anti-Theft; ABS Brakes; Driver Airbag; Front Side Airbag; See all features",Yes,Affordable (5K-15K),27.0,38.0,Affordable,Other,texas,texas,128.0,6,8.25,0.6140228791356797,136.25
2018,Nissan,2018 Nissan Altima 2.5 Sv,8325,Super Black,Charcoal,114958,Gas,27 city / 38 highway,Automatic Transmission,Fwd,2.5L Inline-4 Gas Inline,"Fort Wayne, In",45 days ago,1N4AL3AP9JC249489,15694,"Charcoal, Cloth Seat Trim; Floor Mats Plus Trunk Mat (5 Piece Carpeted); Wheel Type; Remote Engine Start; Climate Control; Blind Spot System; Backup Camera; Bluetooth; 6 Speakers; AM/FM radio: SiriusXM; CD player; Radio data system; Radio: AM/FM/CD/MP3 Audio System w/SiriusXM; Air Conditioning; Automatic temperature control; Front dual zone A/C; Rear window defroster; Power driver seat; Power steering; Power windows; Remote keyless entry; Steering wheel mounted audio controls; Four wheel independent suspension; Speed-sensing steering; Traction control; 4-Wheel Disc Brakes; ABS brakes; Dual front impact airbags; Dual front side impact airbags; Front anti-roll bar; Low tire pressure warning; Occupant sensing airbag; Overhead airbag; Rear anti-roll bar; Blind Spot Warning; Brake assist; Electronic Stability Control; Delay-off headlights; Front fog lights; Fully automatic headlights; Panic alarm; Security system; Speed control; Bumpers: body-color; Power door mirrors; Activation Disclaimer; Cloth Seat Trim; Driver door bin; Driver vanity mirror; Floor Mats Plus Trunk Mat (5-Piece Carpeted); Front reading lights; Illuminated entry; Leather Shift Knob; Outside temperature display; Overhead console; Passenger vanity mirror; Rear reading lights; Rear seat center armrest; Tachometer; Telescoping steering wheel; Tilt steering wheel; Trip computer; Front Bucket Seats; Split folding rear seat; Front Center Armrest w/Storage; Passenger door bin; Alloy wheels; Wheels: 17'' x 7.5'' Machined Aluminum Alloy; Variably intermittent wipers; ALWAYS CALL TO CHECK AVAILABILITY!; **NON SMOKER**; BLUETOOTH; BACKUP CAMERA; Blind Spot Monitoring; Keyless Access W/ Push Button Start; Touch Screen Controls; ***2.5 SV***; See less",Yes,Affordable (5K-15K),27.0,38.0,Affordable,Other,indiana,Unmatched,45.0,6,6.3,0.3285389360258141,51.3
2016,Nissan,2016 Nissan Altima 2.5,7499,Silver,Unknown,120949,Gas,27 city / 39 highway,Automatic Transmission,Fwd,2.5L Inline-4 Gas Inline,"Murfreesboro, Tn",10 days ago,1N4AL3APXGC111307,RAD1307,ABS; ACFront; AirBag; Alarm; AM/FM; Bucket Seat; CD Player; Digital Dash; Keyless Entery; MP3 Disk Player; Power Lock; Power Steering; Power Seat; Power Window; Service Record; Tilt Wheel; Tinted Glass; See less,No,Affordable (5K-15K),27.0,39.0,Affordable,Other,tennessee,Unmatched,10.0,5,32.22663916244479,0.3566194640946434,42.22663916244479
2023,Nissan,2023 Nissan Altima 2.5 S Fwd,14600,Brilliant Silver Metallic,Charcoal,54408,Gas,27 city / 39 highway,Automatic Transmission,Fwd,2.5L Inline-4 Gas Inline,"Bradenton, Fl",44 days ago,1N4BL4BV1PN312038,4002520,"Charcoal, Cloth Seat Trim; Floor Mats & Trunk Mat; Apple CarPlay; Android Auto; Remote Engine Start; Blind Spot System; Lane Keep Assist; Backup Camera; Parking Sensors; Bluetooth; See less; 6 Speakers; AM/FM radio; Radio data system; Radio: AM/FM Audio System; Air Conditioning; See all features",Yes,Affordable (5K-15K),27.0,39.0,Affordable,Other,florida,florida,44.0,6,7.949999999999999,0.6461251130172697,51.95
2022,Nissan,2022 Nissan Altima 2.5 S Fwd,11900,Glacier White,Charcoal,109263,Gas,28 city / 39 highway,Automatic Transmission,Fwd,2.5L Inline-4 Gas Inline,"Laurel, Md",10 days ago,1N4BL4BV5NN328420,23679,Glacier White; Floor Mats & Trunk Mat; Remote Engine Start; Lane Keep Assist; Backup Camera; Bluetooth; Air filtration; Front air conditioning; Front air conditioning zones: single; Airbag deactivation: occupant sensing passenger; Front airbags: dual; Knee airbags: dual front; Side airbags: front / rear; Side curtain airbags: front / rear; Antenna type: element; Auxiliary audio input: Bluetooth / USB / iPod/iPhone / jack; Radio: AM/FM / touch screen display / voice operated; Radio data system; Speed sensitive volume control; Total speakers: 6; ABS: 4-wheel; Braking assist; Cornering brake control; Electronic brakeforce distribution; Front brake diameter: 11.7; Front brake type: ventilated disc; Front brake width: 1.02; Power brakes; Rear brake diameter: 11.5; Rear brake type: disc; Rear brake width: .35; Armrests: rear center with cupholders / rear folding; Floor material: carpet; Interior accents: metallic-tone; Shift knob trim: urethane; Steering wheel trim: urethane; Assist handle: front / rear; Cargo area light; Center console: front console with armrest and storage; Cruise control; Cupholders: front / rear; Multi-function remote: panic alarm / proximity entry system / trunk release; One-touch windows: 1; Overhead console: front; Power outlet(s): USB front / two 12V front; Power steering: variable/speed-proportional; Power windows: lockout button; Push-button start; Reading lights: front / rear; Rearview mirror: manual day/night; Remote engine start; Steering wheel: tilt and telescopic; Steering wheel mounted controls: audio / cruise control / multi-function / phone / voice control; Storage: door pockets / front seatback / sunglasses holder; Vanity mirrors: dual illuminating; Axle ratio: 4.83; Alternator: 120 amps; Battery: maintenance-free; Battery saver; Active grille shutters; Door handle color: chrome; Exhaust: dual tip; Exhaust tip color: chrome; Front bumper color: body-color; Grille color: black / chrome surround; Mirror color: body-color; Rear bumper color: body-color; Window trim: chrome; Infotainment screen size: 7 in.; Clock; Digital odometer; External temperature display; Fuel economy display: MPG / range; Gauge: tachometer; Instrument cluster screen size: 5 in.; Multi-function display; Trip odometer; Warnings and reminders: coolant temperature warning / lamp failure / low fuel level / low oil pressure / maintenance due; Headlights: auto delay off / auto high beam dimmer / auto on/off / halogen / wiper activated; Side mirror adjustments: power; Automatic emergency braking: front / front pedestrian; Camera system: rearview; Check rear seat reminder; Child safety door locks; Child seat anchors: LATCH system; Crumple zones: front / rear; Driver attention alert system; Emergency interior trunk release; Lane deviation sensors; Pre-collision warning system: audible warning / pedestrian detection / visual warning; Rearview monitor: in dash; Safety brake pedal system; Emergency locking retractors: front / rear; Front seatbelts: 3-point; Rear seatbelts: 3-point; Seatbelt force limiters: front; Seatbelt pretensioners: front; Seatbelt warning sensor: front; Driver seat manual adjustments: 6; Driver seat power adjustments: height / reclining; Front headrests: adjustable / 2; Front seat type: bucket; Passenger seat manual adjustments: reclining / 4; Rear headrests: fixed / 3; Rear seat folding: split; Rear seat type: 60-40 split bench; See less,Yes,Affordable (5K-15K),28.0,39.0,Affordable,Other,maryland,Unmatched,10.0,6,15.65147544659668,0.6180547450715319,25.65147544659668
2022,Nissan,2022 Nissan Altima 2.5 Sr Fwd,16288,Glacier White,Sport,54422,Gas,27 city / 37 highway,Automatic Transmission,Fwd,2.5L Inline-4 Gas Inline,"Edison, Nj",3 days ago,1N4BL4CV5NN399468,ALR1326,Glacier White; SR Floor Mats/Trunk Mat/Hideaway Nets; Wheel Type; Apple CarPlay; Android Auto; Seat Material; Remote Engine Start; Blind Spot System; Lane Keep Assist; Backup Camera; Parking Sensors; Bluetooth; See less; Headlights LED; Driver Attention Alert System; Pre-Collision Warning System Audible Warning; Pre-Collision Warning System Visual Warning; Blind Spot Sensor; See all features,Yes,Mid-range (15K-30K),27.0,37.0,Mid-range,Other,new jersey,Unmatched,3.0,7,20.530871185880034,0.595004255913643,23.530871185880034
2023,Nissan,2023 Nissan Altima 2.5 Sv Fwd,14549,Pearl White Tricoat,Charcoal,57797,Gas,27 city / 39 highway,Automatic Transmission,Fwd,2.5L Inline-4 Gas Inline,"Miami, Fl",9 days ago,1N4BL4DV1PN306706,J1584,"Charcoal, Cloth Seat Trim; Floor Mats/Trunk Mat/Hideaway Net; Wheel Type; Apple CarPlay; Android Auto; Remote Engine Start; Blind Spot System; Lane Keep Assist; Backup Camera; Parking Sensors; Bluetooth; See less; 6 Speakers; AM/FM radio: SiriusXM; Radio data system; Radio: AM/FM Audio System; Air Conditioning; See all features",Yes,Affordable (5K-15K),27.0,39.0,Affordable,Other,florida,florida,9.0,6,18.7751180214882,0.5999663629956403,27.7751180214882
2022,Nissan,2022 Nissan Altima 2.5 Sv Fwd,12390,Storm Blue Metallic,Charcoal,59971,Gas,27 city / 37 highway,Automatic Transmission,Fwd,2.5L Inline-4 Gas Inline,"Farmingdale, Ny",86 days ago,1N4BL4DV5NN306463,800661,Floor Mats/Trunk Mat/Hideaway Net; Wheel Type; Apple CarPlay; Android Auto; Remote Engine Start; Blind Spot System; Lane Keep Assist; Backup Camera; Parking Sensors; Bluetooth; See less; Abs - 4-Wheel; Active Grille Shutters; Air Filtration; Airbag Deactivation - Occupant Sensing Passenger; Alternator - 120 Amps; See all features,Yes,Affordable (5K-15K),27.0,37.0,Affordable,Other,new york,new york,86.0,6,8.25,0.6402120019071322,94.25
2022,Nissan,2022 Nissan Frontier S King Cab 2Wd,16498,Glacier White,Charcoal,61469,Gas,18 city / 24 highway,Automatic Transmission,Rwd,3.8L V-6 Gas V,"Houston, Tx",9 days ago,1N6ED1CL6NN691404,N691404,Mid Year Change; Floor Mats; Apple CarPlay; Android Auto; Backup Camera; Bluetooth; CHARCOAL  CLOTH SEAT TRIM; [L92] FLOOR MATS; [G01] MID-YEAR CHANGE; GLACIER WHITE; Rear Wheel Drive; Power Steering; ABS; 4-Wheel Disc Brakes; Brake Assist; Brake Actuated Limited Slip Differential; Steel Wheels; Tires - Front All-Season; Tires - Rear All-Season; Conventional Spare Tire; Privacy Glass; Intermittent Wipers; Variable Speed Intermittent Wipers; Power Door Locks; Automatic Headlights; Automatic Highbeams; AM/FM Stereo; Satellite Radio; MP3 Capability; Steering Wheel Audio Controls; Bluetooth Connection; Auxiliary Audio Input; Smart Device Integration; Requires Subscription; Bucket Seats; Pass-Through Rear Seat; Adjustable Steering Wheel; Trip Computer; Keyless Start; Keyless Entry; Power Door Locks; Cruise Control; A/C; Cloth Seats; Driver Vanity Mirror; Passenger Vanity Mirror; Power Windows; Power Door Locks; Trip Computer; Immobilizer; Traction Control; Stability Control; Traction Control; Front Side Air Bag; Front Collision Mitigation; Driver Monitoring; Tire Pressure Monitor; Driver Air Bag; Passenger Air Bag; Front Head Air Bag; Rear Head Air Bag; Passenger Air Bag Sensor; Knee Air Bag; Back-Up Camera; See less,Yes,Mid-range (15K-30K),18.0,24.0,Mid-range,Other,texas,texas,9.0,1,24.67228604242039,0.4607089263481241,33.67228604242039
